title	repository	comment
	https://github.com/LEOYoon-Tsaw/Squirrel-Designer	配色编辑器（macOS）
	https://github.com/owlzou/weasel-theme-editor	小狼毫主题编辑器（Web） <https://owlzou.github.io/weasel-theme-editor/>
	https://github.com/rxhaol/easy-configs-rime	配色（Web） <https://rxhaol.github.io/easy-configs-rime/>
## 常规输入方案		
### 音码（拼音、注音等）		
	https://github.com/andy0130tw/iridium-bpmf	
	https://github.com/arsenali/rime-triple-pinyin-lssp	
	https://github.com/ayaka14732/rime-putonghua	
	https://github.com/baopaau/rime-gorlor	
	https://github.com/baopaau/rime-guobiao-quick	
	https://github.com/baopaau/rime-mps2	
	https://github.com/baopaau/rime-tungdzih	
	https://github.com/copy0401/irime-bopomo-config	
	https://github.com/Fenzland/fungz-pinyim	
	https://github.com/fuzy112/rime-romatzyh	
	https://github.com/gaboolic/rime-shuangpin-diaoding	
	https://github.com/gkovacs/rime-td-pinyin-flypy	
	https://github.com/hosxy/rime-aurora-pinyin	
	https://github.com/imper0502/rime-double-bopomo	
	https://github.com/Kimiblock/moeOS-pinyin	moeOS 默认 RIME 拼音方案
	https://github.com/lazyfoxchan/rime-tongpin	
	https://github.com/loustack17/Bopomofo_Eten26_Rime	
	https://github.com/maojunxyz/flypy-linux	
	https://github.com/nk2028/rime-tupa	
	https://github.com/oniondelta/Onion_Rime_Files	Rime 洋蔥方案（注音、雙拼、拼音）
	https://github.com/oniondelta/Onion_Trime_Files	
	https://github.com/osfans/rime-taerv	
	https://github.com/Papnas/shupin	
	https://github.com/rime/rime-bopomofo	
	https://github.com/rime/rime-combo-pinyin	
	https://github.com/rime/rime-double-pinyin	
	https://github.com/rime/rime-luna-pinyin	
	https://github.com/rime/rime-pinyin-simp	
	https://github.com/rime/rime-stenotype	
	https://github.com/rime/rime-terra-pinyin	
	https://github.com/rimeinn/rime-snow-pinyin	hanzi-chai/rime-snow-pinyin
	https://github.com/saeziae/rime-double-pinyin	
